approxkl,clipfrac,eplenmean,eprewmean,explained_variance,fps,loss,nupdates,policy_entropy,policy_loss,serial_timesteps,time_elapsed,total_timesteps,value_loss
582502.4,0.971875,1000.0,57410.03510025,0.29934781789779663,268,0.22872636,54,-40.741165,0.18915927,110592,429.65405716901296,110592,0.079134144
374265.56,0.9722168,1000.0,57287.20466920001,0.3827488422393799,260,0.24502602,55,-40.694466,0.22347903,112640,437.50541460700333,112640,0.043093864
257421.88,0.9724121,1000.0,57445.177837300005,0.6400534510612488,263,0.2989218,56,-40.660263,0.2725084,114688,445.2790123310115,114688,0.05282683
268668.9,0.97270507,1000.0,57243.67250619001,0.6811164617538452,265,0.24622099,57,-40.606495,0.21893355,116736,453.001489908027,116736,0.054574937
161890.77,0.9723145,1000.0,57091.26706021,0.7383169233798981,260,0.26779908,58,-40.537395,0.24475682,118784,460.8731607370137,118784,0.046084624
189394.9,0.9725586,1000.0,57281.74524967,0.6936878859996796,262,0.27446544,59,-40.480217,0.245235,120832,468.6792377370002,120832,0.058460724
276794.3,0.9722656,1000.0,57425.478484880005,0.79522804915905,249,0.27417165,60,-40.46382,0.25834048,122880,476.876579785021,122880,0.031662285
235028.88,0.973584,1000.0,57536.34018296,0.7788741737604141,261,0.27561685,61,-40.41439,0.2541116,124928,484.7224096880236,124928,0.0430106
181262.78,0.972998,1000.0,57670.77796143,0.8103155344724655,261,0.26792854,62,-40.365883,0.24878171,126976,492.56638035102515,126976,0.03829369
248710.1,0.9723633,1000.0,57874.46724169,0.49473387002944946,256,0.2887142,63,-40.2905,0.2461739,129024,500.54413842601934,129024,0.08508058
249912.88,0.97333986,1000.0,57730.10993972999,0.7223329246044159,260,0.2635923,64,-40.208813,0.24338436,131072,508.3924176590226,131072,0.0404158
199441.11,0.9728516,1000.0,57727.511589869995,0.8027643412351608,264,0.267517,65,-40.156178,0.23880501,133120,516.1475473910104,133120,0.057423927
327083.44,0.9719238,1000.0,57699.34019796,0.7682287842035294,262,0.27299404,66,-40.085983,0.24840565,135168,523.9482447180199,135168,0.04917682
295636.0,0.9724121,1000.0,57725.302587440005,0.7850722670555115,256,0.2699808,67,-40.010036,0.24480286,137216,531.9252818580135,137216,0.05035575
108934.734,0.9716797,1000.0,57737.02106877,0.7012955248355865,259,0.26284686,68,-39.907845,0.23528278,139264,539.8255521710089,139264,0.05512808
466324.3,0.9729492,1000.0,57147.10733993,0.6537493467330933,251,0.24205394,69,-39.804565,0.21989667,141312,547.9826022720081,141312,0.04431451
301918.56,0.9723145,1000.0,56780.75300105,0.8249366283416748,253,0.2711777,70,-39.702705,0.24012713,143360,556.0573098730238,143360,0.062101193
147978.05,0.97250974,1000.0,57311.670808259994,0.7523707002401352,262,0.30148777,71,-39.618435,0.2686594,145408,563.8508909940138,145408,0.065656774
222564.58,0.9716309,1000.0,57716.32118620999,0.7809152007102966,267,0.3008409,72,-39.577858,0.26529282,147456,571.5042091040232,147456,0.07109609
232884.38,0.97158206,1000.0,57704.97067097,0.5005913078784943,254,0.28595096,73,-39.524788,0.26487228,149504,579.5634242720262,149504,0.042157464
265463.1,0.9727539,1000.0,57796.26072258,0.8191501945257187,250,0.29012698,74,-39.459663,0.26564494,151552,587.7362093570118,151552,0.048964117
255312.66,0.97250974,1000.0,57844.013570660005,0.5540834665298462,262,0.29466018,75,-39.39017,0.26370627,153600,595.5339390130248,153600,0.061907776
270998.7,0.97211915,1000.0,58194.966776400004,0.7406972646713257,258,0.2700693,76,-39.341873,0.24651015,155648,603.4486520260107,155648,0.04711833
422699.2,0.97270507,1000.0,58158.84159532001,0.3849765658378601,242,0.2289525,77,-39.26918,0.20438628,157696,611.9089347000117,157696,0.04913245
381353.66,0.972998,1000.0,58257.98518823001,0.5770155489444733,246,0.2433236,78,-39.190613,0.21620972,159744,620.2216659300029,159744,0.054227818
116926.54,0.97216797,1000.0,58344.782018150014,0.7032545506954193,262,0.27453718,79,-39.09522,0.24917176,161792,628.0279743360006,161792,0.050730873
274944.88,0.97216797,1000.0,58414.77102266002,0.6661809980869293,258,0.24743827,80,-39.053387,0.21844807,163840,635.9656878010137,163840,0.0579804
299417.28,0.9724609,1000.0,58351.57729647,0.6442402303218842,266,0.28532583,81,-39.04249,0.26778322,165888,643.6540920440166,165888,0.035085276
244233.6,0.9717773,1000.0,58291.296023580006,0.6962087154388428,252,0.30108863,82,-38.98748,0.26913196,167936,651.7651839739992,167936,0.06391342
121548.98,0.9724121,1000.0,58158.98843615,0.7638597935438156,235,0.2839723,83,-38.942997,0.25480884,169984,660.4493318640161,169984,0.058327
251989.05,0.97211915,1000.0,58418.24020205,0.45351624488830566,260,0.25214034,84,-38.895382,0.20677313,172032,668.2986186260241,172032,0.09073444
227261.17,0.9723633,1000.0,58356.93631034002,0.329919695854187,257,0.25077134,85,-38.83935,0.21518235,174080,676.2419567840116,174080,0.07117801
